,BHK,Price,Area,Location,Bathrooms,Balcony,Facing,Floor,Total Floors,Store_Room,Study_Room,Pooja_Room,Servant_Room,Others_Room,Property_Age_Years,Area_Type_Encoded,Furnishing_Level_Code,Facility_Premium,Lift,Maintenance,WaterStorage,VaastuCompliant,FireSecurity,VisitorParking,Intercom,Park,AiryRooms,Gym,Overlook_Pool,Overlook_Club,LogPrice
25,2,5000000.0,820.0,"Garia, Kolkata",2,1,West,2.0,4.0,0,0,0,0,0,3.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,15.424948670398354
26,3,5400000.0,1250.0,"Ashokgarh, BT Road",2,2,West,1.0,4.0,0,0,0,0,0,12.5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.501909696719672
27,3,7300000.0,1289.0,"Barasat, Kolkata North",2,2,South-East,11.0,11.0,0,0,1,0,0,3.0,2,0,3,1,1,0,0,0,0,1,1,1,1,0,0,15.803385043104912
28,2,2600000.0,695.0,"Panchpota, Kolkata",1,1,West,1.0,4.0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.77102238760702
29,3,15000000.0,1483.0,"Phoolbagan, Kankurgachi",3,1,Missing,4.0,4.0,0,0,0,0,0,12.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16.52356082573315
30,4,9500000.0,1800.0,"Belgharia, BT Road",4,3,Missing,6.0,6.0,0,0,0,0,0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.066802461833923
31,2,6000000.0,952.0,"Joka, Kolkata South",2,2,Missing,11.0,23.0,0,0,0,0,0,-2.42,2,0,3,1,0,0,0,0,0,1,1,0,1,0,0,15.607270193858982
32,3,7000000.0,1261.0,"Madhyamgram, Kolkata",2,2,Missing,4.0,7.0,0,0,0,0,0,-2.17,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,15.76142084987672
33,3,9500000.0,1206.0,"Kalikapur, Kolkata",2,1,Missing,1.0,3.0,0,0,0,0,0,12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.066802461833923
34,3,13000000.0,2000.0,"Behala Chowrasta, Kolkata",3,3,Missing,4.0,4.0,0,0,0,0,0,12.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.380459992348886
35,2,4200000.0,950.0,"Sakher Bazar, Barisha",2,1,North-East,2.0,3.0,0,0,0,0,0,7.5,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,15.250595321348806
36,2,3200000.0,749.0,"Rajpur, Southern Bypass",2,1,Missing,2.0,4.0,0,0,0,0,0,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.978661680269907
37,2,2800000.0,863.0,"Boral, Kolkata",2,1,South-West,3.0,3.0,0,0,0,0,0,7.5,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,14.845130332288226
