Unnamed: 0,BHK,Price,Area,Location,Bathrooms,Balcony,Facing,Floor,Total Floors,Store_Room,Study_Room,Pooja_Room,Servant_Room,Others_Room,Property_Age_Years,Area_Type_Encoded,Furnishing_Level_Code,Facility_Premium,Lift,Maintenance,WaterStorage,VaastuCompliant,FireSecurity,VisitorParking,Intercom,Park,AiryRooms,Gym,Overlook_Pool,Overlook_Club,LogPrice,Latitude,Longitude
225,2,4900000.0,1000.0,"Tollygunge, Kolkata",2,2,South-East,5.0,5.0,0,0,0,0,0,12.5,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,15.404745967162468,22.498636,88.3453908
226,2,3400000.0,899.0,"South Dumdum, Kolkata",2,1,West,3.0,5.0,0,0,0,0,0,3.0,2,1,2,1,1,1,1,0,0,0,0,1,0,0,0,15.039286283703994,22.6380124,88.3958929
227,3,9100000.0,1188.0,"New Town, Kolkata",2,3,South-East,1.0,12.0,0,0,0,0,0,0.5,2,0,2,1,1,1,1,1,1,1,1,0,1,0,0,16.02378508137718,22.5959131,88.4878653
228,2,5500000.0,970.0,"Diamond Harbour Road, Kolkata",2,1,North-East,1.0,3.0,0,0,0,0,0,12.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.520258832020865,22.4954675,88.3166809
229,2,4000000.0,1050.0,"Lake Town, Kolkata",2,1,East,3.0,4.0,0,0,0,0,0,12.5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,15.201805169084134,22.6001077,88.4066981
230,2,6150000.0,795.0,"Jadavpur, Kolkata",2,1,South,2.0,4.0,0,0,0,0,0,-0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.631962802384312,22.495499,88.3709006
231,3,13000000.0,686.0,"New Town, Kolkata",2,2,North,1.0,20.0,0,0,0,0,0,7.5,0,0,2,1,0,0,0,0,0,1,1,0,1,0,0,16.380459992348886,22.5959131,88.4878653
232,3,15000000.0,1122.0,"Rajarhat, North 24 Parganas",2,2,South,1.0,4.0,0,1,1,0,0,3.0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,16.52356082573315,22.6286173,88.44061
233,3,5430000.0,905.0,"Char Park, Kolkata",2,1,West,1.0,4.0,0,1,0,0,0,0.5,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,15.507449876072164,22.578579,88.3551327
234,2,11000000.0,1075.0,"Chakraberia, Ballygunge",2,1,South,2.0,4.0,0,0,0,0,0,12.5,2,2,3,1,1,1,1,1,0,0,0,1,0,0,0,16.213405921671733,22.5326057,88.3546062
235,3,7200000.0,1110.0,"Rathtala, Kolkata",2,1,South,1.0,4.0,0,0,0,0,0,7.5,2,0,1,1,1,0,0,1,0,1,0,0,1,0,0,15.789591722875162,22.5135613,88.3812157
236,3,7300000.0,1380.0,"Fartabad, Garia",2,2,North-East,2.0,4.0,0,0,0,0,0,7.5,2,0,6,1,1,0,1,1,1,1,1,1,1,0,0,15.803385043104912,22.4662345,88.4025921
237,2,4300000.0,950.0,"Sarsuna, Kolkata",2,1,South,2.0,4.0,0,0,0,0,0,12.5,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,15.274125813221904,22.4809986,88.284838
238,2,4000000.0,812.0,"Joka, Kolkata South",2,0,South-East,,,0,0,0,0,0,7.5,2,2,3,1,1,1,0,1,1,0,0,1,1,0,0,15.201805169084134,22.4440966,88.3017146
239,2,3000000.0,476.0,"Garia, Kolkata",2,0,North,,,0,0,0,0,0,-1.0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,14.914123179965662,22.4727076,88.3977962
240,2,6000000.0,1800.0,Rajarhat,2,1,South,5.0,5.0,0,0,0,0,0,12.5,2,2,2,1,1,0,0,0,0,1,1,0,1,0,0,15.607270193858982,25.7967438,89.5446589
241,2,5700000.0,823.0,"Sector 3 Salt Lake, Kolkata",2,2,East,,,0,0,0,0,0,12.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.55597690824336,22.5708433,88.411041
242,2,4700000.0,1100.0,"Rajarhat, North 24 Parganas",2,1,East,1.0,5.0,0,0,0,0,0,3.0,2,2,0,1,1,1,0,1,1,1,1,0,0,0,0,15.363073279446224,22.6286173,88.44061
243,2,5600000.0,996.0,"Sodepur, Kolkata North",2,1,North-East,15.0,21.0,0,0,0,0,0,3.0,0,0,5,1,1,0,1,0,0,1,1,0,1,0,0,15.53827733427679,22.7001796,88.3791567
244,3,13500000.0,1288.0,"Jodhpur Park, Kolkata",2,2,Missing,2.0,4.0,0,0,0,0,0,12.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16.41820031748273,22.5056055,88.363674
245,3,6800000.0,1181.0,"Rajarhat, North 24 Parganas",2,1,South-East,3.0,4.0,0,0,0,0,0,0.5,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,15.732433317205148,22.6286173,88.44061
246,3,10500000.0,1170.0,"Adarsha Nagar, Kolkata",2,1,South-West,5.0,7.0,0,0,0,0,0,7.5,2,0,0,1,1,0,0,1,1,1,0,0,0,0,0,16.166885910365842,22.5008759,88.3739602
247,3,8500000.0,1860.0,"Narendrapur, South 24 Parganas",3,2,South-East,1.0,4.0,0,0,0,0,0,3.0,2,0,8,1,1,1,1,1,1,1,1,1,1,0,0,15.955576839107596,22.4541674,88.4183764
248,2,5600000.0,1200.0,"Shibpur, Howrah",2,1,South-East,12.0,13.0,0,0,0,0,0,12.5,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,15.53827733427679,22.5685792,88.2942109
249,2,2300000.0,715.0,"Baranagar, North 24 Parganas",1,1,Missing,2.0,3.0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.648420115681892,22.6530765,88.3805962
250,2,4000000.0,835.0,"Nayabad, South 24 Parganas",2,1,North-East,2.0,3.0,0,0,0,0,0,7.5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15.201805169084134,22.477646,88.4399813
251,1,2000000.0,560.0,"South Dum Dum, North 24 Parganas",1,1,South-East,5.0,5.0,0,0,0,0,0,7.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,14.508658238524095,22.6182558,88.393065
252,1,2115000.0,470.0,"Adarsha Nagar, Kolkata",1,1,North-West,3.0,4.0,0,0,0,0,0,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.564565843275645,22.5008759,88.3739602
253,2,3200000.0,650.0,"Patipukur, South Dumdum",2,2,Missing,1.0,2.0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.978661680269909,22.6065505,88.3952451
254,1,2200000.0,556.0,"Adarsha Nagar, Kolkata",1,1,West,,,0,0,0,0,0,12.5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,14.603968372873895,22.5008759,88.3739602
255,3,5800000.0,1039.0,"Serampore, Hooghly",2,1,South,17.0,29.0,0,0,0,0,0,0.5,2,0,6,1,0,0,0,0,0,0,1,1,1,0,0,15.573368647930426,22.7549951,88.3416672
256,4,30000000.0,2400.0,"Sarat Chatterjee Avenue, Kolkata",3,0,Missing,1.0,5.0,0,1,0,1,0,7.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17.216707972959764,22.5100135,88.3493094
257,3,7350000.0,876.0,"New Town, Kolkata",2,1,South,3.0,4.0,0,0,0,0,0,0.5,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,15.810211007243431,22.5959131,88.4878653
258,2,4500000.0,916.0,"Baranagar, Kolkata",2,1,North-East,2.0,4.0,0,0,0,0,0,3.0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,15.319588176962746,22.6380124,88.3958929
259,3,6500000.0,1275.0,"Kalikapur, Kolkata",2,1,Missing,1.0,3.0,0,0,0,0,0,12.5,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,15.687312888712007,22.5053017,88.4009957
260,3,7300000.0,1315.0,"Fartabad, Garia",2,1,Missing,2.0,4.0,0,0,0,0,0,7.5,2,0,2,1,1,1,0,1,1,1,0,0,1,0,0,15.803385043104912,22.4662345,88.4025921
261,3,4600000.0,987.0,"Barasat, Kolkata North",2,1,North-West,5.0,11.0,0,0,0,0,0,3.0,2,0,4,1,1,0,0,0,0,1,1,0,1,0,0,15.341567078850604,22.7240295,88.4889199
262,3,7500000.0,1510.0,Kamalgazi,2,2,South-West,11.0,12.0,0,0,0,0,0,3.0,2,1,2,1,1,1,0,1,1,1,0,0,1,0,0,15.830413711839864,22.4495236,88.3955392
263,3,12500000.0,1750.0,"Action Area 1, Kolkata",2,2,South-East,2.0,4.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,1,1,0,0,0,0,16.341239282272525,22.5743093,88.4558557
264,2,3100000.0,745.0,"Garia, Kolkata",2,1,East,1.0,3.0,0,0,0,0,0,7.5,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,14.946912992035967,22.4727076,88.3977962
265,2,3200000.0,675.0,"Kalikapur, Kolkata",2,1,Missing,2.0,6.0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.978661680269909,22.5053017,88.4009957
266,2,3200000.0,1260.0,"Hridaypur, North 24 Parganas",2,1,Missing,2.0,4.0,0,0,1,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.978661680269909,22.7109969,88.4699989
267,2,2300000.0,780.0,Panihati,2,1,South,4.0,4.0,0,0,0,0,0,7.5,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,14.648420115681892,22.6950342,88.4073585
268,2,10000000.0,1150.0,"Belgachia, Kolkata",2,2,North,,,0,0,0,0,0,12.5,2,0,5,1,0,0,1,0,0,1,1,1,1,0,0,16.118095750958314,22.6059241,88.3863913
269,2,2700000.0,900.0,"Action Area II, New Town",2,1,South-West,3.0,6.0,0,0,0,0,0,7.5,0,2,0,1,1,1,1,1,1,0,0,0,0,0,0,14.80876270134486,22.6129078,88.4665536
270,3,6000000.0,1171.0,"Behala, Kolkata",2,1,North,4.0,5.0,0,0,0,0,0,3.0,2,0,0,1,1,1,0,1,0,0,0,1,0,0,0,15.607270193858982,22.501572,88.3209435
