Unnamed: 0,BHK,Price,Area,Location,Bathrooms,Balcony,Facing,Floor,Total Floors,Store_Room,Study_Room,Pooja_Room,Servant_Room,Others_Room,Property_Age_Years,Area_Type_Encoded,Furnishing_Level_Code,Facility_Premium,Lift,Maintenance,WaterStorage,VaastuCompliant,FireSecurity,VisitorParking,Intercom,Park,AiryRooms,Gym,Overlook_Pool,Overlook_Club,LogPrice,Latitude,Longitude
319,3,8500000.0,1209.0,"Garia, Kolkata",3,1,South,9.0,18.0,0,0,0,0,0,3.0,2,2,9,1,1,1,1,1,1,1,1,1,1,0,0,15.955576839107596,22.4727076,88.3977962
320,3,11000000.0,1693.0,"Kalikapur, Kolkata",3,1,South-East,3.0,4.0,0,0,0,0,0,3.0,2,0,3,1,1,0,1,0,0,0,1,0,1,0,0,16.213405921671733,22.5053017,88.4009957
321,4,17000000.0,1493.0,"Ballygunge, Kolkata",3,1,South-East,4.0,4.0,0,0,0,1,0,0.5,2,0,3,1,0,1,1,0,1,1,0,1,0,0,0,16.648723960844016,22.5280337,88.3659084
322,2,3500000.0,850.0,"Behala, Kolkata",2,1,South,1.0,3.0,0,0,0,0,0,3.0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,15.068273812173889,22.501572,88.3209435
323,2,2958000.0,870.0,"Narendrapur, South 24 Parganas",2,1,West,3.0,4.0,0,0,0,0,0,0.5,2,0,1,1,1,1,0,0,1,1,0,0,1,0,0,14.900024260319086,22.4541674,88.4183764
324,3,19900000.0,1214.0,"New Alipore, Kolkata",3,2,South,11.0,12.0,0,0,0,1,0,0.5,1,0,2,1,1,1,0,1,1,0,1,1,1,0,0,16.806230339945976,22.5111647,88.3281116
325,4,48000000.0,2914.0,"BT Road, North 24 Parganas",4,2,North-West,30.0,42.0,0,0,1,1,0,-2.25,2,0,9,1,1,1,0,1,1,1,1,1,1,0,0,17.6867115897055,22.7241945,88.4837829
326,4,13500000.0,1958.0,Rajarhat,3,1,East,3.0,9.0,0,0,0,0,0,3.0,2,0,3,1,1,1,1,1,1,1,1,0,1,0,0,16.41820031748273,25.7967438,89.5446589
327,3,4250000.0,1050.0,"New Garia, Kolkata",2,1,South-East,1.0,2.0,0,0,0,0,0,0.5,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,15.26242977619469,22.4727076,88.3977962
328,2,5500000.0,1044.0,"Fartabad, Garia",2,1,South-West,4.0,5.0,0,0,0,0,0,0.5,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,15.520258832020865,22.4662345,88.4025921
329,3,4838000.0,1008.0,Rajarhat,2,1,South,4.0,5.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,15.39201217684907,25.7967438,89.5446589
330,3,7559999.999999999,1400.0,"Santoshpur, Kolkata",2,2,South-West,2.0,3.0,0,0,0,0,0,3.0,2,0,2,1,1,1,0,0,0,0,0,1,0,0,0,15.83838188043084,22.4960484,88.3822296
331,2,5400000.0,900.0,"Kalikapur, Kolkata",2,1,South-East,2.0,3.0,0,0,0,0,0,3.0,2,0,1,1,1,1,1,0,0,0,0,1,0,0,0,15.501909696719672,22.5053017,88.4009957
332,2,4400000.0,989.0,"Nayabad, South 24 Parganas",2,2,South-East,1.0,7.0,0,0,0,0,0,0.5,2,0,3,1,0,1,1,1,0,0,1,1,0,0,0,15.29711532616119,22.477646,88.4399813
335,3,6250000.0,1202.0,"New Garia, Kolkata",2,1,South-East,2.0,4.0,0,0,0,0,0,0.5,2,0,3,1,0,0,1,0,0,0,0,1,0,0,0,15.648092181712572,22.4727076,88.3977962
336,3,4906000.0,1022.0,Rajarhat,2,1,East,3.0,5.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,15.405969707632591,25.7967438,89.5446589
337,3,4400000.0,989.0,"Nayabad, South 24 Parganas",2,1,North-East,2.0,7.0,0,0,0,0,0,0.5,2,0,2,1,1,1,1,1,0,1,0,1,0,0,0,15.29711532616119,22.477646,88.4399813
338,1,2500000.0,500.0,"New Garia, Kolkata",1,1,South-West,1.0,3.0,0,0,0,0,0,0.5,2,0,3,1,0,0,1,0,0,0,0,1,0,0,0,14.731801689838347,22.4727076,88.3977962
339,2,4560000.0,950.0,Rajarhat,2,1,North-West,3.0,5.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,0,1,0,0,0,0,15.33283340078879,25.7967438,89.5446589
340,2,4537000.0,945.0,Rajarhat,2,1,South-West,3.0,5.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,15.32777677905604,25.7967438,89.5446589
341,2,4464000.0,930.0,Rajarhat,2,1,North-East,3.0,5.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,15.311556007057597,25.7967438,89.5446589
342,2,4277000.0,891.0,Rajarhat,2,1,West,4.0,5.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,15.268762621017762,25.7967438,89.5446589
343,2,4536000.0,945.0,Rajarhat,2,1,West,4.0,5.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,15.327556344848254,25.7967438,89.5446589
344,3,10500000.0,1160.0,"Adarsha Nagar, Kolkata",2,1,North-East,5.0,7.0,0,0,0,0,0,7.5,2,0,4,1,1,1,1,1,1,1,1,1,1,0,0,16.166885910365842,22.5008759,88.3739602
345,4,45000000.0,2799.0,"Tollygunge, Kolkata",5,3,Missing,11.0,29.0,0,0,0,0,0,-1.67,2,0,6,1,0,0,0,0,0,0,1,1,1,0,0,17.622173069956816,22.498636,88.3453908
346,3,7000000.0,1210.0,"Baruipur, South 24 Parganas",2,1,South-East,8.0,14.0,0,0,0,0,0,3.0,2,0,3,1,1,1,1,1,1,1,1,0,1,0,0,15.76142084987672,22.3606792,88.4322502
347,3,25000000.0,1389.0,"Mukundapur, Kolkata",2,2,South-East,30.0,46.0,0,0,0,1,0,7.5,2,0,2,1,1,1,1,1,1,1,1,0,1,0,0,17.034386422832473,22.4956263,88.398449
348,2,5300000.0,862.0,"New Town, Kolkata",2,1,East,3.0,4.0,0,0,0,0,0,7.5,2,2,0,1,1,1,1,1,1,1,0,0,0,0,0,15.483217567201578,22.5959131,88.4878653
349,2,9500000.0,1242.0,"Rajarhat, North 24 Parganas",2,1,East,2.0,13.0,0,0,1,0,0,7.5,2,2,0,1,1,1,1,1,1,1,1,0,0,0,0,16.066802461833923,22.6286173,88.44061
350,3,7200000.0,560.0,"Golabari, Howrah,",2,1,North-West,2.0,5.0,0,0,1,0,0,3.0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,15.789591722875162,22.5932398,88.3441315
351,2,8000000.0,1022.0,"New Town, Kolkata",2,1,North,3.0,5.0,0,0,0,0,0,7.5,2,2,4,1,1,0,1,0,0,1,1,0,1,0,0,15.894952224644102,22.5959131,88.4878653
352,2,5100000.0,996.0,Rajarhat,2,1,West,2.0,7.0,0,0,0,0,0,3.0,2,0,2,1,0,1,1,1,1,0,1,0,1,0,0,15.444751293772969,25.7967438,89.5446589
353,4,16700000.0,3540.0,Rajarhat,5,3,North,,,0,0,0,1,0,3.0,2,0,3,1,1,1,0,1,1,1,1,0,1,0,0,16.630919337267223,25.7967438,89.5446589
354,3,12000000.0,2500.0,Rajarhat,3,3,South-West,2.0,4.0,0,0,0,1,0,7.5,2,0,3,1,1,1,0,1,1,1,1,0,1,0,0,16.300417291085605,25.7967438,89.5446589
355,3,5764000.0,1441.0,"Airport, Dum Dum",3,2,Missing,2.0,4.0,0,0,0,0,0,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.567142409592169,13.0479657,77.6452691
356,3,4126000.0,1115.0,"Airport, Dum Dum",2,1,South-East,1.0,4.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,1,1,0,0,0,0,15.232819214978791,13.0479657,77.6452691
357,2,3000000.0,740.0,"Baruipur, South 24 Parganas",2,1,East,2.0,4.0,0,0,0,0,0,3.0,2,0,1,1,0,0,0,0,0,1,1,0,1,0,0,14.914123179965662,22.3606792,88.4322502
358,3,5300000.0,1125.0,"Garia, Kolkata",2,1,North-East,4.0,4.0,0,0,0,0,0,7.5,2,0,2,1,1,1,0,1,0,1,1,0,1,0,0,15.483217567201578,22.4727076,88.3977962
359,3,10200000.0,1350.0,Rajarhat,2,1,South-East,10.0,10.0,0,0,0,0,0,0.5,2,0,2,1,1,1,1,1,1,1,1,0,1,0,0,16.13789837629371,25.7967438,89.5446589
360,3,7600000.0,1226.0,"Garia, Kolkata",3,1,North-West,15.0,15.0,0,0,0,0,0,3.0,2,0,5,1,1,0,0,0,0,1,1,1,1,0,0,15.843658936835498,22.4727076,88.3977962
361,4,16500000.0,2160.0,"BT Road, North 24 Parganas",3,2,South-East,15.0,25.0,0,0,0,0,0,0.5,2,0,2,1,0,0,1,0,0,1,1,0,1,0,0,16.61887099947687,22.7241945,88.4837829
362,2,4400000.0,918.0,"Baruipur, South 24 Parganas",2,1,South-West,2.0,14.0,0,0,0,0,0,3.0,2,0,7,1,1,1,1,1,1,1,1,1,1,0,0,15.29711532616119,22.3606792,88.4322502
363,3,8600000.0,1349.0,Rajarhat,2,1,South-East,6.0,11.0,0,0,0,0,0,3.0,2,0,3,1,1,1,1,1,1,1,1,0,1,0,0,15.9672728775028,25.7967438,89.5446589
364,3,13500000.0,1290.0,Rajarhat,2,1,South-East,10.0,13.0,0,0,0,0,0,3.0,2,2,3,1,1,1,1,1,1,1,1,0,1,0,0,16.41820031748273,25.7967438,89.5446589
365,2,7200000.0,920.0,Rajarhat,2,1,South,5.0,9.0,0,0,0,0,0,0.5,2,0,2,1,1,1,1,1,1,1,1,0,1,0,0,15.789591722875162,25.7967438,89.5446589
366,3,20000000.0,1415.0,"Salt Lake, Kolkata",2,1,South-East,8.0,25.0,0,0,0,0,0,3.0,2,2,3,1,1,1,1,1,1,1,1,0,1,0,0,16.811242881518265,22.6564623,88.4467245
367,1,5000000.0,560.0,"Action Area 1, Kolkata",1,0,Missing,,,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.424948670398354,22.5743093,88.4558557
368,3,13000000.0,1670.0,"New Town, Kolkata",3,2,South-West,7.0,12.0,0,0,0,0,0,3.0,2,0,11,1,1,1,1,1,1,1,1,1,1,0,0,16.380459992348886,22.5959131,88.4878653
369,4,12800000.0,1817.0,"Belgharia, North 24 Parganas",3,1,South-East,9.0,13.0,0,0,0,0,0,3.0,2,1,3,1,0,0,0,0,0,1,1,0,1,0,0,16.36495580701484,22.6656371,88.3980035
370,3,10700000.0,1264.0,"New Town, Kolkata",2,1,South,3.0,12.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,1,0,0,0,0,0,16.185754392890075,22.5959131,88.4878653
371,4,18000000.0,2071.0,"BT Road, North 24 Parganas",3,1,South,21.0,25.0,0,0,0,0,0,3.0,2,0,6,1,0,0,1,0,0,1,1,0,1,0,0,16.705882371415992,22.7241945,88.4837829
372,3,11500000.0,1261.0,"New Town, Kolkata",2,1,Missing,9.0,12.0,0,0,0,0,0,0.5,2,2,3,1,1,1,1,1,1,1,1,0,1,0,0,16.257857680289998,22.5959131,88.4878653
373,2,6000000.0,950.0,Santoshpur,2,1,South-East,3.0,5.0,0,0,0,0,0,7.5,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0,15.607270193858982,22.5240566,88.2710655
374,2,6300000.0,980.0,"Action Area 2, Kolkata",2,1,East,3.0,4.0,0,0,0,0,0,0.5,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,15.656060350091908,22.6202131,88.4681187
375,3,7250000.0,1368.0,"Action Area 2, Kolkata",2,2,South,3.0,4.0,0,0,0,0,0,0.5,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,15.796512164761882,22.6202131,88.4681187
376,3,11600000.0,1400.0,Rajarhat,3,1,West,6.0,10.0,0,0,0,0,0,0.5,2,0,2,1,1,1,1,1,1,1,1,0,1,0,0,16.266515742283485,25.7967438,89.5446589
377,3,24000000.0,1475.0,"Mukundapur, Kolkata",3,2,North-East,20.0,46.0,0,0,0,0,0,0.5,1,0,6,1,1,1,1,1,1,1,1,1,1,0,0,16.993564429978885,22.4956263,88.398449
378,2,6200000.0,970.0,"Adarsha Nagar, Kolkata",2,1,South-East,1.0,4.0,0,0,0,0,0,12.5,2,0,2,1,1,1,0,1,0,1,1,1,1,0,0,15.64006001130563,22.5008759,88.3739602
379,6,32500000.0,3000.0,"Jodhpur Park, Kolkata",4,3,South,3.0,4.0,0,0,0,0,0,7.5,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,17.296750678069195,22.5056055,88.363674
380,4,29000000.0,3620.0,"Garia, Kolkata",4,3,North-East,3.0,22.0,0,0,0,1,0,12.5,2,0,6,1,1,1,0,1,1,1,1,1,1,0,0,17.182806422433504,22.4727076,88.3977962
381,2,7500000.0,1027.0,"Nayabad, South 24 Parganas",2,1,South-East,4.0,11.0,0,0,0,0,0,3.0,2,0,4,1,0,1,0,1,0,1,1,1,1,0,0,15.830413711839864,22.477646,88.4399813
382,3,4500000.0,931.0,"Joka, Kolkata South",2,2,Missing,1.0,10.0,0,0,0,0,0,0.5,2,0,4,1,1,0,1,1,1,1,1,1,1,0,0,15.319588176962746,22.4440966,88.3017146
383,3,6900000.0,1278.0,"Baruipur, South 24 Parganas",2,1,North-West,8.0,14.0,1,0,0,0,0,3.0,2,0,9,1,0,0,0,0,0,1,1,1,1,0,0,15.747032114495012,22.3606792,88.4322502
384,3,5600000.0,1225.0,"Garia, Kolkata",2,1,South-East,4.0,4.0,0,0,0,0,0,7.5,2,0,3,1,1,1,0,1,1,1,1,0,1,0,0,15.53827733427679,22.4727076,88.3977962
385,2,3000000.0,799.0,Rajarhat,2,1,Missing,4.0,4.0,0,0,0,0,0,3.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.914123179965662,25.7967438,89.5446589
386,3,15300000.0,1551.0,"Dum Dum, Kolkata",2,2,South,1.0,13.0,0,1,1,0,0,0.5,2,2,3,1,1,1,1,1,1,1,1,0,1,0,0,16.54336345172214,22.6546116,88.4249902
387,1,2230000.0,531.0,"Birati, Kolkata",1,1,East,2.0,4.0,0,0,0,0,0,3.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.617512591866694,22.6546116,88.4249902
388,3,5200000.0,1060.0,"Serampore, Hooghly",2,1,North-East,8.0,29.0,0,0,0,0,0,0.5,2,0,2,1,1,1,1,1,1,1,1,0,1,0,0,15.46416937585933,22.7549951,88.3416672
389,3,16500000.0,1373.0,"EM Bypass, Kolkata South",2,2,North-East,12.0,17.0,0,0,0,0,0,3.0,2,0,3,1,1,1,1,1,1,1,1,0,1,0,0,16.61887099947687,22.4690721,88.3912838
390,3,11399999.999999998,1360.0,"Char Park, Kolkata",2,1,South-West,11.0,11.0,0,0,0,0,0,0.5,2,0,2,1,1,1,1,1,1,1,1,0,1,0,0,16.249124001084017,22.578579,88.3551327
391,3,10700000.0,1650.0,"Garia, Kolkata",2,1,East,1.0,4.0,0,1,0,0,0,7.5,2,1,3,1,1,1,1,1,1,0,1,0,1,0,0,16.185754392890075,22.4727076,88.3977962
392,4,21000000.0,2850.0,"Moore Avenue, Tollygunge",4,2,South-East,1.0,4.0,0,0,0,0,0,12.5,2,2,2,1,1,1,0,0,0,0,0,1,0,0,0,16.860033043306743,22.4933548,88.3433104
393,1,15000000.0,970.0,"New Town, Kolkata",1,1,South-East,11.0,23.0,0,0,0,0,0,0.5,2,2,10,1,1,1,1,1,1,1,1,1,1,0,0,16.52356082573315,22.5959131,88.4878653
394,3,16500000.0,2054.0,"New Town, Kolkata",3,2,Missing,11.0,33.0,0,0,0,0,0,3.0,2,0,11,1,1,1,1,1,1,1,1,1,1,0,0,16.61887099947687,22.5959131,88.4878653
395,3,9500000.0,1255.0,"Char Park, Kolkata",2,2,West,3.0,11.0,0,0,0,0,0,0.5,2,0,2,1,1,1,1,1,1,1,1,0,1,0,0,16.066802461833923,22.578579,88.3551327
396,2,3705000.0,950.0,"Airport, Dum Dum",2,1,South-West,2.0,5.0,0,0,0,0,0,0.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.12519408661782,13.0479657,77.6452691
397,2,3825000.0,805.0,"Airport, Dum Dum",2,1,South-East,4.0,5.0,0,0,0,0,0,0.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.157069286680647,13.0479657,77.6452691
398,3,5900000.0,1000.0,"Joka, Kolkata South",2,1,West,13.0,15.0,0,0,0,0,0,3.0,2,0,2,1,0,0,1,0,0,1,0,1,1,0,0,15.59046307836746,22.4440966,88.3017146
399,3,6600000.0,1128.0,"Joka, Kolkata South",2,3,East,3.0,15.0,0,0,0,0,0,3.0,2,0,2,1,0,0,1,0,0,1,0,1,1,0,0,15.702580358511794,22.4440966,88.3017146
400,3,13700000.000000002,1551.0,"Dum Dum, Kolkata",2,2,South,5.0,13.0,0,0,0,0,0,3.0,2,0,4,1,0,0,1,0,0,1,1,0,1,0,0,16.432906463791053,22.6546116,88.4249902
401,2,6000000.0,1010.0,Rajarhat,2,1,East,8.0,11.0,0,0,0,0,0,3.0,2,0,8,1,1,1,1,1,1,1,1,1,1,0,0,15.607270193858982,25.7967438,89.5446589
402,2,5100000.0,1158.0,Rajarhat,2,2,East,1.0,7.0,0,0,0,0,0,3.0,2,0,8,1,1,1,1,1,1,1,1,1,1,0,0,15.444751293772969,25.7967438,89.5446589
403,3,9200000.0,1474.0,Rajarhat,2,1,South,6.0,9.0,0,0,0,0,0,3.0,2,0,8,1,1,1,1,1,1,1,1,1,1,0,0,16.034714150714915,25.7967438,89.5446589
404,3,12300000.0,1369.0,"New Town, Kolkata",2,1,South,4.0,12.0,0,0,0,0,0,3.0,2,0,6,1,1,0,0,0,0,1,1,0,1,0,0,16.325109901643454,22.5959131,88.4878653
405,3,9400000.0,1260.0,"Char Park, Kolkata",2,1,South-West,3.0,11.0,0,0,0,0,0,0.5,2,0,2,1,1,1,1,1,1,1,1,0,1,0,0,16.056220353623207,22.578579,88.3551327
406,2,6000000.0,971.0,Rajarhat,2,1,East,10.0,10.0,0,0,0,0,0,0.5,2,0,4,1,0,0,0,1,1,1,1,0,1,0,0,15.607270193858982,25.7967438,89.5446589
407,4,17500000.0,1493.0,"Ballygunge, Kolkata",3,1,South-East,2.0,4.0,0,0,0,1,0,0.5,2,0,3,1,0,1,1,0,1,1,0,1,0,0,0,16.677711496036597,22.5280337,88.3659084
408,3,6300000.0,1326.0,"Behala Chowrasta, Kolkata",2,2,East,2.0,11.0,0,0,0,0,0,7.5,2,2,5,1,1,1,1,1,1,1,1,1,1,0,0,15.656060350091908,22.4873548,88.3133794
409,2,4100000.0,1052.0,"Sarsuna, Kolkata",2,1,South-East,8.0,11.0,0,0,0,0,0,7.5,2,0,5,1,1,1,1,1,1,1,1,1,1,0,0,15.226497775576943,22.4809986,88.284838
410,2,5500000.0,940.0,"Joka, Kolkata South",2,1,South-West,4.0,14.0,0,0,0,0,0,3.0,2,0,7,1,1,1,1,1,1,1,1,1,1,0,0,15.520258832020865,22.4440966,88.3017146
411,2,5500000.0,940.0,"Joka, Kolkata South",2,1,South,4.0,14.0,0,0,0,0,0,3.0,2,0,7,1,1,1,1,1,1,1,1,1,1,0,0,15.520258832020865,22.4440966,88.3017146
412,2,5200000.0,890.0,"Joka, Kolkata South",2,2,North-East,12.0,14.0,0,0,0,0,0,3.0,2,0,7,1,1,1,1,1,1,1,1,1,1,0,0,15.46416937585933,22.4440966,88.3017146
413,3,8700000.0,1412.0,"Behala, Kolkata",2,2,South-East,1.0,5.0,0,0,0,0,0,7.5,2,2,2,1,1,1,1,1,1,0,0,1,0,0,0,15.978833698567334,22.501572,88.3209435
414,2,3000000.0,839.0,"Garia, Kolkata",2,1,South-East,1.0,2.0,1,0,0,0,0,0.5,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,14.914123179965662,22.4727076,88.3977962
415,3,4448000.0,1055.0,"New Town, Kolkata",2,1,South-East,2.0,4.0,0,0,0,0,0,3.0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,15.307965339732672,22.5959131,88.4878653
416,3,8500000.0,1298.0,"Kalikapur, Kolkata",2,1,South-West,3.0,4.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,1,1,0,0,0,0,15.955576839107596,22.5053017,88.4009957
417,2,5100000.0,860.0,"Joka, Kolkata South",2,2,North,4.0,15.0,0,0,0,0,0,3.0,2,0,2,1,0,0,1,0,0,1,0,0,1,1,0,15.444751293772969,22.4440966,88.3017146
418,2,8500000.0,1000.0,"Sarat Bose Road, Kolkata",2,1,South-West,3.0,8.0,0,0,0,0,0,12.5,2,0,4,1,1,1,0,0,0,0,0,1,1,0,0,15.955576839107596,22.5363513,88.3542021
419,3,4500000.0,1200.0,"Airport, Dum Dum",2,2,South-East,1.0,4.0,0,0,0,0,0,12.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.319588176962746,13.0479657,77.6452691
420,2,5088000.0,960.0,"Action Area 2, Kolkata",2,1,East,2.0,4.0,0,0,0,0,0,0.5,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,15.442395580542955,22.6202131,88.4681187
421,3,8500000.0,764.0,"BT Road, North 24 Parganas",2,1,South-East,2.0,11.0,0,0,0,0,0,3.0,0,0,3,1,1,1,1,1,1,1,1,0,1,0,0,15.955576839107596,22.7241945,88.4837829
422,4,25000000.0,2452.0,"Adarsha Nagar, Kolkata",4,1,North-West,18.0,19.0,0,0,0,0,0,3.0,2,0,6,1,1,1,1,1,1,1,1,1,1,0,0,17.034386422832473,22.5008759,88.3739602
423,3,21100000.0,1985.0,"Adarsha Nagar, Kolkata",3,1,South,16.0,19.0,0,0,0,0,0,3.0,2,0,6,1,1,1,1,1,1,1,1,1,1,0,0,16.86478364583966,22.5008759,88.3739602
424,3,5500000.0,1150.0,Rajarhat,2,1,North,3.0,5.0,0,0,0,0,0,3.0,2,0,2,1,1,1,1,1,1,1,1,0,1,0,0,15.520258832020865,25.7967438,89.5446589
425,4,17000000.0,3500.0,Rajarhat,4,2,North-West,3.0,4.0,0,0,0,0,0,3.0,2,0,5,1,1,1,1,1,1,1,1,1,1,0,0,16.648723960844016,25.7967438,89.5446589
426,2,7700000.0,910.0,"BT Road, North 24 Parganas",2,1,South-East,3.0,24.0,0,0,0,0,0,3.0,2,0,5,1,1,1,1,1,1,1,1,1,1,0,0,15.856731016694036,22.7241945,88.4837829
427,4,24500000.0,1235.0,"New Town, Kolkata",4,2,South-West,16.0,20.0,0,1,0,0,0,3.0,0,0,10,1,0,0,0,0,0,1,1,1,1,0,0,17.01418371633128,22.5959131,88.4878653
428,4,22000000.0,2621.0,"Adarsha Nagar, Kolkata",4,3,South-East,4.0,22.0,0,0,0,0,0,3.0,2,0,6,1,0,0,0,0,0,1,1,1,1,0,0,16.906553056777135,22.5008759,88.3739602
429,3,12000000.0,1328.0,"EM Bypass, Kolkata South",2,1,North,10.0,27.0,0,0,0,0,0,12.5,2,1,6,1,1,1,0,1,1,1,1,1,1,1,0,16.300417291085605,22.4690721,88.3912838
430,3,7500000.0,1404.0,"Fartabad, Garia",2,2,North-East,4.0,4.0,0,0,0,0,0,7.5,0,0,3,1,1,1,0,1,0,0,1,1,1,0,0,15.830413711839864,22.4662345,88.4025921
431,2,6300000.0,1145.0,"Barrackpur-II, North 24 Parganas",2,3,North-West,3.0,6.0,0,1,0,0,0,3.0,2,0,10,1,1,1,1,1,1,1,1,1,1,0,0,15.656060350091908,22.9500602,88.4587242
432,2,6500000.0,1175.0,"Barrackpur-II, North 24 Parganas",2,3,South-East,5.0,6.0,0,1,0,0,0,3.0,2,0,10,1,1,1,1,1,1,1,1,1,1,0,0,15.687312888712007,22.9500602,88.4587242
433,2,5700000.0,1022.0,"Barrackpur-II, North 24 Parganas",2,3,North-East,2.0,6.0,0,0,0,0,0,3.0,2,0,9,1,1,1,1,1,1,1,1,1,1,0,0,15.55597690824336,22.9500602,88.4587242
434,3,5200000.0,1437.0,Panihati,2,1,South-West,4.0,9.0,0,0,0,0,0,7.5,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,15.46416937585933,22.6950342,88.4073585
435,3,7400000.0,1225.0,"EM Bypass, Kolkata South",2,1,South-East,1.0,4.0,0,0,0,0,0,12.5,2,0,5,1,1,1,0,0,0,1,1,1,1,0,0,15.816990693309524,22.4690721,88.3912838
436,3,6906000.0,1303.0,"Action Area 2, Kolkata",2,2,South-West,1.0,4.0,0,0,0,0,0,0.5,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,15.747901301733686,22.6202131,88.4681187
437,3,12000000.0,1765.0,"Garia, Kolkata",2,2,South-West,5.0,10.0,0,0,0,0,0,12.5,2,0,2,1,1,0,0,0,0,1,1,0,1,0,0,16.300417291085605,22.4727076,88.3977962
438,2,3529999.9999999995,954.0,Rajarhat,2,1,South-East,4.0,4.0,0,0,0,0,0,0.5,2,0,1,1,0,1,1,1,1,0,0,1,1,0,0,15.076808712195556,25.7967438,89.5446589
439,4,24500000.0,2945.0,"Survey Park, Santoshpur",4,2,South-West,9.0,13.0,1,0,0,0,0,12.5,2,0,5,1,1,0,0,1,1,1,1,1,1,0,0,17.01418371633128,22.4922238,88.3922906
440,4,34000000.0,2800.0,"Tollygunge, Kolkata",3,1,South,17.0,17.0,0,0,0,1,0,3.0,2,0,5,1,1,1,1,1,1,1,1,1,1,0,0,17.341871111992198,22.498636,88.3453908
441,1,2256000.0,480.0,"North Dum Dum, Kolkata",1,1,South,4.0,7.0,0,0,0,0,0,0.5,2,0,5,1,1,1,0,1,0,1,1,0,1,0,0,14.6291043348624,22.6344962,88.4157144
442,2,2250000.0,750.0,"Amarabati, Sodepur",2,1,South-West,4.0,4.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,0,1,0,0,0,0,0,0,14.626441218624947,22.6993196,88.3896675
443,4,55000000.0,3200.0,"Ballygunge, Kolkata",4,3,East,1.0,4.0,1,0,0,1,0,12.5,1,0,5,1,1,1,1,1,0,1,1,1,1,0,0,17.822843761378564,22.5280337,88.3659084
444,2,5500000.0,1158.0,Rajarhat,2,2,East,6.0,7.0,0,0,0,0,0,3.0,2,0,8,1,1,1,1,1,1,1,1,1,1,0,0,15.520258832020865,25.7967438,89.5446589
445,3,5700000.0,1160.0,Kamalgazi,2,1,Missing,3.0,4.0,0,0,0,0,0,3.0,2,0,2,1,1,1,1,1,1,0,0,1,0,0,0,15.55597690824336,22.4495236,88.3955392
446,2,6200000.0,920.0,"Garia, Kolkata",2,1,Missing,2.0,4.0,0,0,0,0,0,0.5,2,0,2,1,1,1,1,1,1,0,0,1,0,0,0,15.64006001130563,22.4727076,88.3977962
447,3,8600000.0,1300.0,"Garia, Kolkata",2,2,North-East,2.0,3.0,0,0,0,0,0,3.0,2,0,1,1,0,1,0,1,1,0,0,1,0,0,0,15.9672728775028,22.4727076,88.3977962
448,2,5000000.0,1060.0,"Narendrapur, South 24 Parganas",2,1,South-East,4.0,7.0,0,0,0,0,0,7.5,2,0,5,1,1,1,1,1,1,1,1,1,1,0,0,15.424948670398354,22.4541674,88.4183764
449,2,4310000.0,917.0,"Garia, Kolkata",2,1,South,1.0,4.0,0,0,0,0,0,3.0,2,0,1,1,1,1,1,1,1,0,0,1,0,0,0,15.276448694098464,22.4727076,88.3977962
450,3,12500000.0,1468.0,"Garia, Kolkata",3,1,South,4.0,7.0,0,0,0,0,0,3.0,2,0,4,1,1,1,1,1,1,1,0,1,1,0,0,16.341239282272525,22.4727076,88.3977962
