BHK,Price(lakhs),Area,Bathrooms,Balcony,Floor,Total_Floors,Store_Room,Study_Room,Pooja_Room,Servant_Room,Property_Age_Years,Area_Type_Encoded,Furnishing_Level_Code,Facility_Premium,Lift,Maintenance,WaterStorage,VaastuCompliant,FireSecurity,VisitorParking,Intercom,Park,AiryRooms,Gym,Latitude,Longitude,Floor_Ratio
2,60.0,952.0,2,2,11.0,23.0,0,0,0,0,-2.42,2,0,3,1,0,0,0,0,0,1,1,0,1,22.4440966,88.3017146,0.4782608695652174
3,70.0,1261.0,2,2,4.0,7.0,0,0,0,0,-2.17,2,0,0,1,0,0,0,0,0,1,0,0,1,22.6947839,88.4530183,0.5714285714285714
3,95.0,1206.0,2,1,1.0,3.0,0,0,0,0,12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,22.5053017,88.4009957,0.3333333333333333
3,130.0,2000.0,3,3,4.0,4.0,0,0,0,0,12.5,2,1,0,0,0,0,0,0,0,0,0,0,0,22.4873548,88.3133794,1.0
2,42.0,950.0,2,1,2.0,3.0,0,0,0,0,7.5,2,0,1,0,1,1,1,0,0,0,0,0,0,22.4767859,88.3047986,0.6666666666666666
2,32.0,749.0,2,1,2.0,4.0,0,0,0,0,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,22.1018905,88.3745163,0.5
2,28.0,863.0,2,1,3.0,3.0,0,0,0,0,7.5,2,0,0,0,0,1,0,0,1,0,0,0,0,22.5697,88.3630976,1.0
6,160.0,2640.0,4,2,3.0,5.0,0,0,0,0,7.5,0,2,2,1,0,0,0,0,0,0,0,1,0,22.6001077,88.4066981,0.6
2,57.0,965.0,2,1,3.0,12.0,0,0,0,0,0.5,2,0,3,1,0,1,0,1,0,1,1,1,1,25.7967438,89.5446589,0.25
3,50.0,1498.0,2,3,5.0,5.0,0,0,0,0,12.5,1,2,3,1,1,1,0,1,0,1,0,1,0,22.6947839,88.4530183,1.0
2,50.0,999.0,2,1,1.0,5.0,0,0,0,0,12.5,2,0,0,1,0,0,0,1,0,0,0,0,0,22.4960484,88.3822296,0.2
4,58.0,1310.0,2,2,7.0,7.0,0,1,0,0,7.5,2,2,5,1,1,0,1,0,0,1,1,0,1,22.6947839,88.4530183,1.0
3,68.0,1390.0,2,1,1.0,4.0,0,1,1,0,3.0,2,0,7,1,1,1,1,0,1,1,1,1,1,22.6947839,88.4530183,0.25
2,45.0,913.0,2,1,4.0,4.0,0,0,0,0,3.0,2,0,0,1,1,0,0,1,1,0,1,0,0,22.679688,88.4498321,1.0
2,62.0,1620.0,2,1,2.0,4.0,0,0,0,0,12.5,2,2,0,0,0,1,1,0,0,0,0,0,0,22.4956263,88.398449,0.5
3,140.0,1643.0,3,1,7.0,7.0,0,0,0,1,3.0,2,2,5,1,1,1,0,1,1,1,1,1,1,22.5959131,88.4878653,1.0
3,55.0,1427.0,2,1,4.0,4.0,0,0,1,0,12.5,2,2,4,1,1,1,0,0,1,0,1,1,1,25.7967438,89.5446589,1.0
3,88.0,1850.0,2,0,10.0,10.0,0,0,0,0,12.5,0,1,0,0,0,0,0,0,0,0,0,0,0,22.5932398,88.3441315,1.0
2,112.0,1195.0,2,1,4.0,4.0,0,0,0,0,12.5,1,1,3,1,1,1,0,1,1,0,1,0,1,22.498636,88.3453908,1.0
3,77.0,812.0,2,1,18.0,27.0,0,0,0,0,-2.42,1,0,3,1,0,0,0,0,0,1,1,0,1,25.7967438,89.5446589,0.6666666666666666
2,70.0,1090.0,2,1,2.0,9.0,0,0,0,0,0.5,0,2,0,0,1,0,0,0,0,0,0,0,0,22.6469581,88.343612,0.2222222222222222
3,61.0,1500.0,2,2,2.0,5.0,0,0,0,0,7.5,2,1,4,1,1,1,1,1,1,1,1,0,1,22.6947839,88.4530183,0.4
3,42.0,1236.0,2,1,9.0,15.0,0,0,1,0,7.5,2,1,6,1,1,1,1,1,1,0,1,1,1,22.5440241,88.2696868,0.6
2,96.0,926.0,2,2,5.0,6.0,0,0,0,0,3.0,2,0,1,1,0,0,0,0,0,1,1,0,0,22.5959131,88.4878653,0.8333333333333334
3,63.0,1500.0,2,2,1.0,5.0,0,1,1,0,3.0,1,2,0,1,0,1,0,0,1,0,0,0,0,22.5886606,88.2966655,0.2
2,40.0,1030.0,2,2,5.0,5.0,0,0,0,0,7.5,2,2,5,1,1,1,0,1,1,0,1,1,1,22.613274,88.4246327,1.0
2,115.0,1075.0,2,1,7.0,15.0,0,0,0,0,12.5,0,2,3,0,1,0,0,1,1,0,0,0,1,22.5264928,88.3323692,0.4666666666666667
3,77.5,1253.0,2,2,3.0,21.0,0,0,0,0,-0.67,2,0,4,1,1,0,1,0,0,1,1,0,1,22.7001796,88.3791567,0.1428571428571428
3,70.0,1306.0,2,2,11.0,12.0,0,1,0,0,3.0,2,1,6,1,0,0,0,0,0,0,1,1,1,22.501572,88.3209435,0.9166666666666666
2,92.0,1291.0,2,1,5.0,10.0,1,1,1,0,3.0,0,1,2,1,1,1,1,1,1,1,1,0,0,22.5822129,88.2798107,0.5
3,156.0,2113.0,4,2,11.0,28.0,0,0,0,1,7.5,2,2,7,1,1,1,0,1,1,1,1,1,1,22.5932398,88.3441315,0.3928571428571428
2,30.5,764.0,2,1,2.0,5.0,0,0,0,0,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,22.6286173,88.44061,0.4
3,110.0,980.0,2,2,2.0,4.0,0,0,0,0,12.5,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5946735,88.4054907,0.5
3,57.15,1270.0,2,1,3.0,3.0,0,0,1,0,7.5,1,2,0,1,0,1,0,1,1,0,0,0,0,22.477646,88.4399813,1.0
1,47.0,550.0,1,0,1.0,3.0,0,0,0,0,12.5,1,0,0,0,0,0,1,0,0,0,1,0,0,22.5133442,88.3527932,0.3333333333333333
3,80.0,1000.0,2,1,2.0,4.0,0,0,0,0,7.5,0,0,0,1,0,0,0,1,0,0,0,0,0,22.5841465,88.3788957,0.5
2,26.5,712.0,2,1,8.0,14.0,0,0,0,0,7.5,2,2,2,1,1,1,1,1,1,1,1,0,1,22.5132661,88.2229919,0.5714285714285714
2,55.0,850.0,2,1,3.0,4.0,0,0,0,0,7.5,1,2,0,1,1,1,0,1,1,1,1,0,0,22.4727076,88.3977962,0.75
2,35.0,750.0,2,1,2.0,3.0,0,0,0,0,12.5,0,1,0,0,0,1,0,0,0,0,0,0,0,22.6380124,88.3958929,0.6666666666666666
3,70.0,1048.0,2,1,3.0,6.0,0,0,0,0,7.5,2,2,0,1,1,1,0,1,1,0,1,0,0,22.6286173,88.44061,0.5
3,60.0,1750.0,3,2,4.0,4.0,0,0,1,0,12.5,0,0,1,1,0,1,0,0,0,0,0,1,0,22.7001796,88.3791567,1.0
2,51.0,880.0,2,1,2.0,5.0,0,0,0,0,12.5,0,1,5,1,1,0,1,1,1,1,1,0,1,22.4727076,88.3977962,0.4
4,160.0,1995.0,3,1,6.0,6.0,0,0,0,1,7.5,2,2,6,1,1,1,1,1,1,1,1,1,1,22.5959131,88.4878653,1.0
2,27.0,720.0,2,1,2.0,3.0,0,0,0,0,3.0,2,1,0,1,0,0,0,0,0,0,0,0,0,22.4864389,88.2816299,0.6666666666666666
3,70.0,1050.0,3,1,1.0,4.0,0,0,0,0,12.5,2,1,0,0,1,1,0,0,0,0,0,0,0,22.506758,88.3817559,0.25
2,36.0,850.0,2,1,2.0,4.0,1,0,0,0,7.5,2,2,2,1,0,1,1,0,0,0,0,1,0,22.501572,88.3209435,0.5
2,34.0,720.0,2,1,3.0,5.0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6097509,88.4026439,0.6
2,46.0,905.0,2,1,1.0,5.0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,22.4541674,88.4183764,0.2
2,52.0,897.0,2,0,12.0,12.0,0,0,0,0,7.5,0,2,3,1,1,1,1,1,0,1,1,0,1,25.7967438,89.5446589,1.0
3,62.0,900.0,2,1,1.0,14.0,0,0,0,0,7.5,0,2,5,1,1,1,1,1,1,0,1,1,1,22.5932398,88.3441315,0.0714285714285714
2,80.0,970.0,2,1,4.0,4.0,0,0,0,0,3.0,2,2,4,1,0,0,0,0,1,0,1,0,1,22.5959131,88.4878653,1.0
2,40.0,750.0,2,1,4.0,4.0,0,0,0,0,3.0,1,2,5,1,1,1,1,1,1,1,1,1,1,25.7967438,89.5446589,1.0
2,48.5,950.0,2,1,2.0,4.0,0,0,0,0,7.5,2,0,0,1,1,0,0,0,0,0,0,0,0,22.4767859,88.3047986,0.5
3,51.0,1220.0,2,2,2.0,4.0,0,0,0,0,0.5,2,0,0,1,0,1,1,0,0,0,0,0,0,22.6375838,88.412158,0.5
3,80.0,1215.0,2,1,6.0,11.0,0,0,0,0,3.0,2,0,5,1,1,0,0,0,0,1,0,1,1,22.4440966,88.3017146,0.5454545454545454
3,80.0,1790.0,3,3,8.0,28.0,0,0,0,0,3.0,2,1,0,0,1,0,0,0,1,1,0,0,0,22.5440241,88.2696868,0.2857142857142857
3,75.0,1353.0,2,1,1.0,5.0,0,0,0,0,3.0,0,1,0,1,1,1,0,1,1,1,1,0,0,22.578579,88.3551327,0.2
2,25.0,840.0,2,1,3.0,3.0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,1,0,22.8909117,88.3702844,1.0
2,30.0,900.0,1,1,3.0,4.0,0,0,0,0,7.5,2,0,0,0,0,0,0,0,0,0,0,0,0,22.6546116,88.4249902,0.75
3,54.0,1274.0,2,2,2.0,4.0,0,0,0,0,3.0,2,2,7,1,0,1,1,1,1,1,1,1,1,22.6380124,88.3958929,0.5
3,190.0,2079.0,3,2,7.0,18.0,0,0,0,1,12.5,2,0,0,1,0,0,0,1,1,0,0,0,0,22.4727076,88.3977962,0.3888888888888889
2,140.0,1235.0,2,1,2.0,5.0,0,0,0,0,3.0,2,1,4,1,1,1,0,1,0,0,1,0,0,22.5280337,88.3659084,0.4
2,30.0,876.0,2,1,2.0,3.0,0,0,0,0,0.5,2,0,0,1,0,0,0,0,0,0,0,0,0,22.4541674,88.4183764,0.6666666666666666
3,130.0,1660.0,2,1,6.0,12.0,0,0,0,1,7.5,1,2,5,1,1,1,1,1,1,1,1,0,1,22.6286173,88.44061,0.5
2,40.0,1010.0,2,1,2.0,4.0,0,0,0,0,3.0,2,0,2,1,1,1,1,0,0,1,1,0,1,22.4541674,88.4183764,0.5
2,30.0,780.0,1,0,3.0,4.0,0,0,0,0,12.5,2,0,0,0,0,0,0,0,0,0,0,0,0,22.613274,88.4246327,0.75
2,20.0,712.0,2,1,11.0,14.0,0,1,0,0,3.0,1,1,4,1,1,1,1,1,0,1,1,1,1,22.5440241,88.2696868,0.7857142857142857
3,80.0,1245.0,2,1,2.0,4.0,0,0,0,0,12.5,2,0,5,1,1,1,0,1,0,0,1,1,1,22.6546116,88.4249902,0.5
2,23.0,759.0,2,1,3.0,4.0,0,0,0,0,0.5,2,0,0,1,0,1,0,0,1,0,0,0,0,22.6947839,88.4530183,0.75
2,38.25,850.0,2,1,2.0,4.0,0,0,1,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,22.5918828,88.281562,0.5
3,62.0,1057.0,2,2,2.0,4.0,0,0,0,0,7.5,2,2,6,1,1,0,1,1,1,1,1,1,1,25.7967438,89.5446589,0.5
3,65.0,1220.0,2,1,3.0,3.0,0,0,0,0,12.5,2,1,4,1,0,1,0,1,0,1,0,1,0,22.4690721,88.3912838,1.0
3,290.0,1677.0,3,2,20.0,46.0,0,0,0,0,0.5,0,0,2,1,1,1,1,1,1,1,1,0,1,22.4956263,88.398449,0.4347826086956521
2,23.0,840.0,2,1,1.0,5.0,0,0,0,0,7.5,1,1,0,1,0,1,1,0,0,0,0,0,0,22.7710139,88.3291849,0.2
3,64.0,1223.0,2,1,2.0,4.0,0,0,0,0,7.5,2,0,4,0,0,0,0,0,0,0,0,1,1,25.7967438,89.5446589,0.5
3,80.0,1245.0,2,1,2.0,4.0,0,0,0,0,12.5,0,0,4,1,1,0,0,0,0,0,1,0,1,22.6546116,88.4249902,0.5
3,330.0,2081.0,4,2,34.0,46.0,0,0,0,0,0.5,2,0,3,1,0,0,1,0,0,1,1,0,1,22.4956263,88.398449,0.7391304347826086
2,39.0,920.0,2,1,3.0,4.0,0,0,0,0,-0.5,2,0,3,1,1,1,1,1,1,1,1,0,1,22.6947839,88.4530183,0.75
4,130.0,1750.0,3,2,3.0,4.0,0,0,0,0,0.5,2,0,2,1,0,0,0,0,0,1,1,0,1,22.4727076,88.3977962,0.75
2,86.0,680.0,2,1,11.0,18.0,0,0,0,0,0.5,0,0,3,1,1,1,1,1,1,1,1,0,1,22.4690721,88.3912838,0.6111111111111112
2,90.0,954.0,2,1,22.0,23.0,0,0,0,0,0.5,1,0,3,1,0,0,1,1,1,0,0,0,1,25.7967438,89.5446589,0.9565217391304348
2,115.0,1068.0,2,1,4.0,16.0,0,0,0,0,12.5,1,0,2,1,1,1,1,1,1,0,1,0,0,22.5153313,88.3477052,0.25
3,47.0,1120.0,2,1,1.0,8.0,0,0,0,0,3.0,2,0,4,1,1,1,0,1,0,1,1,0,1,22.4727076,88.3977962,0.125
2,40.0,805.0,2,1,4.0,4.0,0,0,0,0,7.5,0,1,0,1,1,1,0,1,0,1,0,0,0,22.4727076,88.3977962,1.0
3,300.0,2400.0,3,2,1.0,4.0,0,1,0,0,12.5,2,1,3,1,0,1,1,1,0,0,0,1,0,22.3392659,88.285288,0.25
2,55.0,831.0,2,1,10.0,13.0,0,0,0,0,7.5,2,0,2,1,0,0,0,0,1,0,1,1,1,25.7967438,89.5446589,0.7692307692307693
2,149.0,1350.0,2,1,2.0,11.0,0,0,0,0,12.5,2,2,4,1,0,1,1,1,0,0,0,1,0,22.5276506,88.3673772,0.1818181818181818
2,80.0,830.0,2,1,1.0,4.0,0,0,0,0,12.5,2,2,0,1,0,1,0,1,0,0,0,0,0,22.5143251,88.3369583,0.25
4,200.0,2000.0,4,3,1.0,10.0,0,0,0,0,12.5,2,2,3,0,1,0,0,1,0,0,0,0,0,22.5280337,88.3659084,0.1
3,60.0,1227.0,2,1,3.0,4.0,0,0,0,0,3.0,2,1,0,1,0,0,0,0,0,0,1,0,0,22.477646,88.4399813,0.75
3,62.0,1277.0,2,1,4.0,7.0,0,0,0,0,3.0,2,0,3,1,1,1,0,1,1,1,0,0,1,22.6947839,88.4530183,0.5714285714285714
2,42.0,1058.0,2,2,5.0,27.0,0,0,0,0,12.5,2,1,5,1,0,0,0,0,0,1,1,0,1,22.6286173,88.44061,0.1851851851851851
2,129.0,700.0,2,1,17.0,17.0,0,0,0,0,0.5,1,2,6,1,1,1,1,1,1,1,1,1,1,22.498636,88.3453908,1.0
3,220.0,1100.0,3,2,9.0,12.0,0,0,0,0,0.5,0,0,1,1,0,0,0,0,0,0,1,0,1,22.5111647,88.3281116,0.75
2,95.0,1148.0,2,1,4.0,4.0,0,0,0,0,12.5,2,2,1,1,1,1,0,1,0,0,0,1,0,22.5111821,88.3781985,1.0
2,25.0,796.0,2,1,3.0,3.0,0,0,0,0,12.5,2,0,2,1,0,1,0,1,1,0,0,0,1,22.7191072,88.4826229,1.0
4,624.0,3200.0,4,0,5.0,10.0,0,0,1,1,12.5,2,2,2,1,0,1,1,1,1,0,0,0,0,22.5551591,88.3501171,0.5
3,55.0,1051.0,2,1,2.0,7.0,0,0,0,0,0.5,2,0,2,1,1,1,0,0,0,0,0,1,0,22.6182558,88.393065,0.2857142857142857
4,115.0,1817.0,3,1,11.0,13.0,0,0,0,0,7.5,2,0,2,1,1,1,1,1,1,1,1,0,1,22.6656371,88.3980035,0.8461538461538461
3,100.0,1330.0,2,1,4.0,5.0,0,0,0,0,7.5,2,0,0,0,0,0,0,0,0,0,0,0,0,22.4440966,88.3017146,0.8
3,59.0,1124.0,2,2,2.0,6.0,0,0,0,0,3.0,2,0,8,1,1,1,1,1,0,1,1,1,1,25.7967438,89.5446589,0.3333333333333333
3,100.0,1495.0,2,1,3.0,4.0,0,0,1,0,12.5,2,1,0,1,0,0,0,0,0,0,0,0,0,22.498636,88.3453908,0.75
3,58.0,1200.0,2,1,4.0,4.0,0,0,0,0,7.5,2,1,0,1,0,1,1,1,1,0,0,0,0,22.477646,88.4399813,1.0
3,105.0,1355.0,2,1,9.0,10.0,0,0,0,0,0.5,2,2,3,1,0,0,0,0,0,1,1,0,1,25.7967438,89.5446589,0.9
3,65.0,1314.0,2,2,4.0,5.0,0,0,0,0,3.0,2,0,2,1,0,0,0,0,0,1,0,0,1,25.7967438,89.5446589,0.8
3,45.0,1277.0,2,1,3.0,3.0,0,0,0,0,12.5,2,0,1,1,1,1,0,1,1,0,0,1,0,22.6743641,88.3432884,1.0
3,48.0,1524.0,3,1,12.0,15.0,0,0,0,0,7.5,1,0,4,1,1,1,0,0,1,0,1,0,1,22.5440241,88.2696868,0.8
3,85.0,1355.0,2,1,9.0,10.0,0,0,0,0,0.5,2,1,3,1,1,1,1,1,0,1,1,0,1,25.7967438,89.5446589,0.9
3,50.0,1300.0,2,2,5.0,5.0,0,0,0,0,3.0,0,0,2,1,0,1,0,1,1,1,1,0,1,25.7967438,89.5446589,1.0
3,180.0,1750.0,3,1,9.0,13.0,0,0,0,0,7.5,1,2,2,1,1,0,1,0,0,1,0,0,1,22.5565107,88.3795946,0.6923076923076923
2,40.0,750.0,2,1,1.0,2.0,0,0,0,0,7.5,0,1,0,0,0,1,0,0,0,0,0,0,0,22.7241945,88.4837829,0.5
3,120.0,1644.0,2,1,7.0,9.0,0,0,0,0,12.5,2,1,5,1,1,1,1,1,0,0,1,1,0,22.5008759,88.3739602,0.7777777777777778
3,75.0,1300.0,2,2,1.0,4.0,0,0,0,0,12.5,0,2,0,1,0,1,1,1,0,0,0,0,0,22.501572,88.3209435,0.25
5,100.0,2081.0,2,2,4.0,4.0,0,0,0,0,12.5,2,0,0,1,1,0,0,0,0,0,0,0,0,22.6286173,88.44061,1.0
4,310.0,2017.0,3,2,23.0,26.0,0,0,0,1,3.0,2,2,2,1,0,0,0,0,0,1,1,0,1,22.5565107,88.3795946,0.8846153846153846
2,85.0,1316.0,2,1,6.0,12.0,0,0,0,0,3.0,2,0,3,1,0,0,0,0,0,0,1,0,1,22.498636,88.3453908,0.5
2,57.0,792.0,2,3,1.0,5.0,0,0,0,0,-0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,22.5959131,88.4878653,0.2
3,135.0,1475.0,2,1,17.0,25.0,0,0,0,0,0.5,2,0,2,1,1,1,0,1,1,1,1,0,1,22.5959131,88.4878653,0.68
2,45.0,1100.0,2,1,4.0,4.0,0,0,0,0,12.5,0,2,0,0,0,0,0,0,0,0,0,0,0,22.5685792,88.2942109,1.0
3,85.0,1220.0,2,1,4.0,4.0,0,0,0,0,3.0,2,1,0,1,0,0,0,0,0,0,0,0,0,22.495499,88.3709006,1.0
3,85.0,1565.0,3,3,3.0,4.0,0,0,0,0,7.5,2,2,2,1,1,1,1,1,0,0,0,1,0,22.566664,88.3653411,0.75
2,74.0,1090.0,2,1,4.0,11.0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4690721,88.3912838,0.3636363636363636
3,60.0,1119.0,2,2,11.0,14.0,0,0,0,0,-0.75,2,0,8,1,1,1,0,1,1,1,1,1,1,22.6670459,88.3411458,0.7857142857142857
2,37.8,700.0,1,1,4.0,4.0,0,0,0,0,7.5,0,1,0,0,0,0,1,0,0,0,0,1,0,22.6469581,88.343612,1.0
2,37.0,750.0,2,1,2.0,3.0,0,0,0,0,7.5,0,0,0,0,0,1,1,0,0,0,0,0,0,22.4765359,88.3654699,0.6666666666666666
2,58.0,638.0,2,1,11.0,27.0,0,0,0,0,-1.5,0,0,2,1,0,0,0,0,0,1,1,0,1,25.7967438,89.5446589,0.4074074074074074
3,75.0,1384.0,2,2,4.0,4.0,0,0,0,0,12.5,2,0,0,0,0,0,0,0,0,0,0,0,0,22.6286173,88.44061,1.0
3,98.0,830.0,2,2,1.0,13.0,0,0,0,0,0.5,0,0,6,1,1,1,1,1,1,1,1,1,1,22.6546116,88.4249902,0.0769230769230769
2,112.0,1202.0,2,1,7.0,7.0,0,0,0,0,12.5,2,2,3,1,0,1,0,0,1,0,1,1,1,22.5789725,88.3915174,1.0
4,88.0,3200.0,4,1,2.0,2.0,0,0,1,1,12.5,1,0,0,0,0,1,1,0,1,0,0,0,0,22.4440966,88.3017146,1.0
2,45.0,831.0,2,0,4.0,5.0,0,0,0,0,12.5,0,0,0,1,1,1,0,1,0,0,0,0,0,22.501572,88.3209435,0.8
2,43.0,1158.0,2,0,2.0,6.0,0,0,0,0,12.5,2,0,2,1,0,1,0,1,0,1,0,0,0,22.4734143,88.3608305,0.3333333333333333
2,30.0,736.0,2,1,5.0,10.0,0,0,0,0,7.5,2,2,2,1,0,1,0,1,1,1,0,0,0,22.5802652,88.2560296,0.5
2,26.0,680.0,1,0,1.0,3.0,0,0,0,0,0.5,0,0,2,0,0,1,1,0,0,0,0,1,0,22.4599654,88.3645317,0.3333333333333333
3,35.0,1114.0,2,1,2.0,5.0,0,0,0,0,3.0,2,1,2,1,1,1,0,1,1,0,1,1,1,22.5744025,88.0188847,0.4
3,72.0,1124.0,2,1,2.0,3.0,0,0,0,0,12.5,1,0,0,1,0,1,1,0,0,0,0,0,0,22.5240566,88.2710655,0.6666666666666666
3,56.0,1116.0,2,1,2.0,5.0,0,0,0,0,3.0,2,2,3,1,1,1,0,1,0,1,0,1,0,22.8909117,88.3702844,0.4
2,82.0,954.0,2,1,14.0,23.0,0,0,0,0,0.5,1,0,3,1,1,1,1,1,1,1,1,1,1,22.6286173,88.44061,0.6086956521739131
3,47.0,1015.0,2,1,3.0,4.0,0,0,1,0,3.0,0,1,0,1,0,1,1,0,0,0,0,0,0,22.5837959,88.4351768,0.75
2,70.0,650.0,2,1,2.0,4.0,0,0,0,0,12.5,0,2,0,0,1,0,0,0,0,0,0,1,0,22.7241945,88.4837829,0.5
3,78.0,792.0,3,2,12.0,14.0,0,0,0,0,0.5,0,0,3,1,1,1,0,1,1,1,1,0,1,22.4440966,88.3017146,0.8571428571428571
2,34.0,774.0,2,1,4.0,5.0,0,0,0,0,3.0,1,2,1,1,0,0,1,0,0,1,1,0,1,25.7967438,89.5446589,0.8
3,77.71,1274.0,2,1,2.0,2.0,0,0,0,0,7.5,2,0,1,1,1,1,1,1,0,1,0,0,0,22.5240566,88.2710655,1.0
