BHK,Price,Area,Bathrooms,Balcony,Floor,Total Floors,Store_Room,Study_Room,Pooja_Room,Servant_Room,Property_Age_Years,Area_Type_Encoded,Furnishing_Level_Code,Facility_Premium,Lift,Maintenance,WaterStorage,VaastuCompliant,FireSecurity,VisitorParking,Intercom,Park,AiryRooms,Gym,Overlook_Pool,Overlook_Club,Latitude,Longitude,Floor_Ratio
2,4200000.0,950.0,2,1,2.0,3.0,0,0,0,0,7.5,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,22.4767859,88.3047986,0.6666666666666666
2,3200000.0,749.0,2,1,2.0,4.0,0,0,0,0,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1018905,88.3745163,0.5
2,2800000.0,863.0,2,1,3.0,3.0,0,0,0,0,7.5,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,22.5697,88.3630976,1.0
6,16000000.0,2640.0,4,2,3.0,5.0,0,0,0,0,7.5,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,22.6001077,88.4066981,0.6
2,5700000.0,965.0,2,1,3.0,12.0,0,0,0,0,0.5,2,0,3,1,0,1,0,1,0,1,1,1,1,0,0,25.7967438,89.5446589,0.25
3,5000000.0,1498.0,2,3,5.0,5.0,0,0,0,0,12.5,1,2,3,1,1,1,0,1,0,1,0,1,0,0,0,22.6947839,88.4530183,1.0
2,5000000.0,999.0,2,1,1.0,5.0,0,0,0,0,12.5,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,22.4960484,88.3822296,0.2
4,5800000.0,1310.0,2,2,7.0,7.0,0,1,0,0,7.5,2,2,5,1,1,0,1,0,0,1,1,0,1,0,0,22.6947839,88.4530183,1.0
3,6800000.0,1390.0,2,1,1.0,4.0,0,1,1,0,3.0,2,0,7,1,1,1,1,0,1,1,1,1,1,0,0,22.6947839,88.4530183,0.25
2,4500000.0,913.0,2,1,4.0,4.0,0,0,0,0,3.0,2,0,0,1,1,0,0,1,1,0,1,0,0,0,0,22.679688,88.4498321,1.0
